,x,y,z,wts
7339,36.0,139.0,9.714590122544816,0.7759605708774506
18777,93.0,177.0,7.90205606658389,1.0081393398209253
24855,124.0,55.0,6.49591662134188,0.5507495663737717
30296,151.0,96.0,10.1593134982047,0.4793220635787254
30309,151.0,109.0,12.344680537832547,0.4769478945378897
11241,56.0,41.0,11.918018590897669,0.8983552455774676
26160,130.0,160.0,11.001389086274765,0.5906173632214922
35531,177.0,131.0,7.899938544697976,0.7258563716420312
34088,170.0,88.0,10.601479254341893,0.5575718638364733
33119,165.0,119.0,13.015520293882357,0.49980132440886343
17335,86.0,135.0,12.450054023832227,0.5271160926422913
15263,76.0,63.0,14.98524739589444,0.5815362620918175
11364,56.0,164.0,10.377509153096504,0.723595180276766
24946,124.0,146.0,11.288800630261177,0.5204827048515397
30518,152.0,118.0,13.017542503829683,0.49098298225718795
35353,176.0,153.0,8.922363802139587,0.781811467919708
806,4.0,6.0,9.001992565436458,3.9464285714285694
33516,167.0,116.0,11.24141057628505,0.4857662366895652
2480,12.0,80.0,8.97615243099198,2.589285714285713
26589,132.0,189.0,8.99713506983364,1.595471007188039
28105,140.0,105.0,12.038885107367344,0.4745428921328873
2746,13.0,146.0,10.448356882382836,1.0624529456051195
33166,165.0,166.0,11.229472551380436,0.941110551949975
29963,149.0,163.0,10.587171485215027,0.7488028596422825
6025,30.0,25.0,9.661063343033574,1.8210076960076955
21813,109.0,13.0,10.09014242069169,1.0890418520090523
20918,104.0,118.0,6.703047328647164,0.47648420542685754
37730,188.0,130.0,8.899962622242489,0.9966897049753644
35926,179.0,126.0,7.068219202564251,0.6948004710209131
18927,94.0,127.0,8.487598763536003,0.48721957848107117
29452,147.0,52.0,11.10017031954684,0.5621152359520016
23627,118.0,27.0,12.321854775685033,0.8637820071839901
32572,162.0,172.0,10.507565037886186,1.0904534432283501
35308,176.0,108.0,8.035093867709875,0.5425165353753477
6930,34.0,130.0,8.918860235080123,0.802415597332477
16559,82.0,159.0,8.827694635287791,0.6074523625210448
26022,130.0,22.0,11.83187741733484,1.0429065863085691
38167,190.0,167.0,9.907282741857333,1.8699059948583208
12176,60.0,176.0,9.301465989946111,1.082391476573062
33344,166.0,144.0,8.892191315923151,0.6192410634138198
6882,34.0,82.0,11.449525002599653,0.7879389129389127
14364,71.0,164.0,9.960140000410387,0.6406591936405894
32875,164.0,75.0,8.9752709502548,0.52628845818974
5863,29.0,63.0,11.923659660419075,1.1225949975949974
4965,24.0,165.0,8.449353086652748,1.047902681054855
36871,184.0,71.0,9.054817016722021,0.9339159498579785
36272,181.0,72.0,8.340536135006607,0.9339159498579785
12386,61.0,186.0,8.273843048133227,1.5914726731542586
5997,29.0,197.0,10.087169326947398,2.730068542568541
16012,80.0,12.0,9.49375603957489,1.1369448452781783
16577,82.0,177.0,9.797274734301412,1.0289726731542588
34315,171.0,115.0,9.773978612228099,0.5425165353753477
15157,75.0,157.0,11.298183436905136,0.6406591936405894
5602,28.0,2.0,10.530663162630987,3.1130952380952372
13678,68.0,78.0,12.43240883980858,0.5851673441542722
8706,43.0,106.0,8.055150593484449,0.6300602354346314
37489,187.0,89.0,8.362520118080992,0.9539728856757839
24243,121.0,43.0,7.237216750975351,0.6012546168788221
32080,160.0,80.0,11.538612063587967,0.5008215651506908
31807,159.0,7.0,10.697922041636682,3.0237460367132365
31006,155.0,6.0,11.245468449634489,2.542264555231755
8572,42.0,172.0,10.149354308830121,0.9545319994488792
9076,45.0,76.0,12.750123352554372,0.6537099126968405
24272,121.0,72.0,8.605738819625408,0.5036994440548321
21682,108.0,82.0,13.461493138196962,0.48228027462872386
11451,57.0,51.0,11.549615791967023,0.8478501950724171
35692,178.0,92.0,9.916650843515919,0.6831395523424507
11516,57.0,116.0,11.148055057454707,0.5921814475558436
9873,49.0,73.0,13.912592467367666,0.6537099126968405
3270,16.0,70.0,9.940731809002962,1.5342748210395263
18495,92.0,95.0,9.412931036596417,0.4848616304709493
35233,176.0,33.0,6.190238559295296,2.732710073213506
20557,102.0,157.0,8.458589442261434,0.5758836561334978
25928,129.0,128.0,10.98588609545768,0.5102810933427386
18246,91.0,46.0,12.595855540679935,0.6205648557542784
27348,136.0,148.0,11.053768934812656,0.5580573306614597
765,3.0,165.0,8.312401028805208,1.5344346675868412
30667,153.0,67.0,11.424092304236954,0.5433562171929829
32356,161.0,156.0,10.305486162735365,0.7250611692339256
4523,22.0,123.0,6.866813199758947,1.1815005646527381
20816,104.0,16.0,9.99177961980442,1.0890418520090523
1376,6.0,176.0,7.891636864866542,1.8932309638831368
1768,8.0,168.0,11.108517808990644,1.6542603756478431
19398,96.0,198.0,11.688865735821334,2.3523422383716492
12627,63.0,27.0,11.926710440878548,1.0066738816738814
25766,128.0,166.0,11.09342850192796,0.5766117609805959
11104,55.0,104.0,9.914271258710269,0.5879726933470893
14718,73.0,118.0,12.089116395262355,0.5412597429339492
21895,109.0,95.0,9.000899302569762,0.46959911520843406
26900,134.0,100.0,11.562219363671298,0.4651901050023224
17251,86.0,51.0,13.44081513826771,0.5851564236067159
26475,132.0,75.0,7.281183200117351,0.5057123265024972
19044,95.0,44.0,11.332435733187348,0.6205648557542784
15469,77.0,69.0,14.603798238927848,0.5815362620918175
31056,155.0,56.0,10.713746777613583,0.564520238357004
39972,199.0,172.0,10.191610572364906,3.474844266463258
37871,189.0,71.0,8.9823834764231,2.129568123771022
8676,43.0,76.0,12.907924991781238,0.6537099126968405
25627,128.0,27.0,12.346794167398457,0.8577214011233841
22171,110.0,171.0,7.993860266345077,0.7230306756507837
