,test_num,biased_t_prob,biased_bartlett_prob,cm_t_prob,cm_bartlett_prob,declus_t_prob,declus_bartlett_prob
0,0.0,0.5811452854050003,0.012470693948840149,0.8579007462018436,0.12017613436061426,0.6804736848716956,8.178990792961144e-138
1,1.0,0.5260045608869981,0.38774025045605287,0.852196680230549,0.5225402263460359,0.1198435625851184,6.392998375971958e-74
2,2.0,0.6673970783948291,0.5562960507540082,0.7497869350208226,0.8198945104432123,0.032637156647179956,1.9250752275168016e-68
3,3.0,0.6090915100245019,0.7153697419762912,0.5693338324722197,0.7058836151134311,0.07532064724399128,1.4583639248253647e-80
4,4.0,0.4971625461780713,0.9927110963299806,0.5069778837971509,0.9561157753676272,0.055061187204103995,2.096068410023415e-96
5,5.0,0.22059346511955463,0.2526525012268731,0.4518842700003298,0.11887161688355168,0.018472664934155086,3.9904422514242635e-133
6,6.0,0.21465526694856008,0.775626541118284,0.08978313043055013,0.6218240509221542,0.8041850317409038,1.4681100741416881e-118
7,7.0,0.5729696909404224,0.47186799669075974,0.9841123713814066,0.5967555551694481,0.2717310289758685,2.250595126740702e-100
8,8.0,0.8363560891021382,0.9319077273799345,0.44168893862702296,0.7194613514041349,0.06290060249512613,1.1272244854327574e-107
9,9.0,0.05018379580778867,0.3777310718223279,0.1863895698843957,0.06830487767988734,0.6936947120081807,7.76007126532729e-73
10,10.0,0.6064946557824985,0.6199452383189893,0.22862337978035993,0.9755216307758167,0.2002280476463167,1.1917811864522293e-94
11,11.0,0.872967411309411,0.0991715785590276,0.9075484246633387,0.16839261466279887,0.031316926665242606,3.710459917932242e-128
12,12.0,0.09663120870086854,0.2353125032958875,0.3607686478140846,0.5244436389647971,0.8005595167665606,9.875724631477315e-66
13,13.0,0.415701317471856,0.9315748893872936,0.18413007557652622,0.1354976589929978,0.07166880934449602,1.5377746462392293e-21
14,14.0,0.49450266866940507,0.7023901733360176,0.8067878731759722,0.670473842604056,0.187192006886423,2.5308890324834883e-110
15,15.0,0.4205244557308053,0.7096701963731199,0.5084770088027242,0.9820131498983812,0.18671494971338087,7.0525176757108245e-130
16,16.0,0.5578518986848302,0.03966242918011228,0.21446589122496304,0.0308747230723506,0.5579694668097539,9.890612685570533e-139
17,17.0,0.7761721162812087,0.22400238466815475,0.8832531952944742,0.03476722927011202,0.7873323816978617,6.932074621813772e-144
18,18.0,0.12362784556658019,0.5637647495059182,0.08882944917879405,0.32431216168803023,0.001751489549357501,1.289537381190626e-118
19,19.0,0.6719236471716736,0.13441570930029417,0.7339286909833911,0.17045240004089526,0.3753040072297733,1.995451276366058e-64
20,20.0,0.6143156604961382,0.764657688216885,0.5417883093814838,0.7974095102944403,0.03271108509881886,3.535119497181634e-100
21,21.0,0.11930048605801626,0.6435114881804175,0.30743633758110905,0.24435647094292162,0.030086916796182157,3.78667079735422e-89
22,22.0,0.08477286555274337,0.746557510161193,0.19540513016416305,0.9633007083803271,0.04214094834305943,9.161469237909574e-123
23,23.0,0.17453059021150844,0.3254194994190961,0.3060281769216347,0.7878552333293299,0.719387532750667,4.5583194749758626e-129
24,24.0,0.43824385303384716,0.07309665214696484,0.345178541226171,0.2342744466586119,0.03278136236070332,1.0217636901235038e-88
25,25.0,0.2749095419814755,0.0216681925413116,0.5472989434733257,0.01606933597975257,0.9472269097002861,9.723659276418775e-196
26,26.0,0.3628860517187017,0.2142443974211279,0.5467559723804397,0.5899567681336605,0.16310024574903836,8.964533679043011e-11
27,27.0,0.4072073481234353,0.7118482726861155,0.5080816504011745,0.7242220280178185,0.33815557603961155,6.029277085510283e-143
28,28.0,0.31133616029877986,0.2132377472882512,0.13879224604983934,0.2561953081132221,0.9371613352684764,3.007687121994681e-82
29,29.0,0.09644779570104985,0.9151319000185767,0.5312737610859817,0.3223076476429293,0.48204546210251664,6.873611738777099e-106
30,30.0,0.4102754047153505,0.9719077889652655,0.8625687630860686,0.7761340149637024,0.02468797680484796,1.3334614529687866e-55
31,31.0,0.18815791870490575,0.4622488318017881,0.4540619285379702,0.5159769322861469,0.006854893716482037,9.137681796934615e-136
32,32.0,0.5376976270314932,0.3551365105273554,0.16996388095728882,0.12409457740120726,0.5563958343344946,4.443333870707157e-156
